Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,asymmetric,0.31,0.4180544472687322
75% Corpus,4,asymmetric,0.61,0.39321298455467546
75% Corpus,4,asymmetric,0.9099999999999999,0.4636798610940912
75% Corpus,4,asymmetric,symmetric,0.4021971008326098
75% Corpus,5,0.01,0.01,0.2621284253220594
75% Corpus,5,0.01,0.31,0.27050848805178973
75% Corpus,5,0.01,0.61,0.35883044175544204
75% Corpus,5,0.01,0.9099999999999999,0.30726235049587
75% Corpus,5,0.01,symmetric,0.2850957539814011
75% Corpus,5,0.31,0.01,0.2971683918149914
75% Corpus,5,0.31,0.31,0.2972102919174427
75% Corpus,5,0.31,0.61,0.2724697674666574
75% Corpus,5,0.31,0.9099999999999999,0.2966820161476765
75% Corpus,5,0.31,symmetric,0.2997493049057066
75% Corpus,5,0.61,0.01,0.2971467664227844
75% Corpus,5,0.61,0.31,0.3137485158590028
75% Corpus,5,0.61,0.61,0.31194531622416727
75% Corpus,5,0.61,0.9099999999999999,0.3129107632618709
75% Corpus,5,0.61,symmetric,0.29783254771308015
75% Corpus,5,0.9099999999999999,0.01,0.33080052497530343
75% Corpus,5,0.9099999999999999,0.31,0.3058518017147782
75% Corpus,5,0.9099999999999999,0.61,0.3291038135578928
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.32782188075198615
75% Corpus,5,0.9099999999999999,symmetric,0.3008598271019848
75% Corpus,5,symmetric,0.01,0.2544050680737333
75% Corpus,5,symmetric,0.31,0.29531194467433897
75% Corpus,5,symmetric,0.61,0.3132562454140876
75% Corpus,5,symmetric,0.9099999999999999,0.2706084452796039
75% Corpus,5,symmetric,symmetric,0.2838393843723018
75% Corpus,5,asymmetric,0.01,0.37532220320660264
75% Corpus,5,asymmetric,0.31,0.3422171294818651
75% Corpus,5,asymmetric,0.61,0.3844347080069778
75% Corpus,5,asymmetric,0.9099999999999999,0.4937175032779743
75% Corpus,5,asymmetric,symmetric,0.42039639923243743
75% Corpus,6,0.01,0.01,0.2901642449976364
75% Corpus,6,0.01,0.31,0.30018350184812964
75% Corpus,6,0.01,0.61,0.30773453032741066
75% Corpus,6,0.01,0.9099999999999999,0.3038167301528712
75% Corpus,6,0.01,symmetric,0.2756867160133582
75% Corpus,6,0.31,0.01,0.30277148310952134
75% Corpus,6,0.31,0.31,0.30736240702152884
75% Corpus,6,0.31,0.61,0.29195040247388565
75% Corpus,6,0.31,0.9099999999999999,0.2845740255956178
75% Corpus,6,0.31,symmetric,0.3026118924405576
75% Corpus,6,0.61,0.01,0.3072472235665899
75% Corpus,6,0.61,0.31,0.3031039666134943
75% Corpus,6,0.61,0.61,0.31811416929213204
75% Corpus,6,0.61,0.9099999999999999,0.3056204403172318
75% Corpus,6,0.61,symmetric,0.30861263760817553
