Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.61,symmetric,0.402042274879998
75% Corpus,8,0.9099999999999999,0.01,0.35981376593568526
75% Corpus,8,0.9099999999999999,0.31,0.32744450562089145
75% Corpus,8,0.9099999999999999,0.61,0.29338194950766483
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.2766318671267544
75% Corpus,8,0.9099999999999999,symmetric,0.35115304575735484
75% Corpus,8,symmetric,0.01,0.36653616808001077
75% Corpus,8,symmetric,0.31,0.39174272144937866
75% Corpus,8,symmetric,0.61,0.43111194171088085
75% Corpus,8,symmetric,0.9099999999999999,0.40558818912373584
75% Corpus,8,symmetric,symmetric,0.3961379906505482
75% Corpus,8,asymmetric,0.01,
75% Corpus,8,asymmetric,0.31,
75% Corpus,8,asymmetric,0.61,
75% Corpus,8,asymmetric,0.9099999999999999,
75% Corpus,8,asymmetric,symmetric,
75% Corpus,9,0.01,0.01,0.41741606898025047
75% Corpus,9,0.01,0.31,0.45965917180954613
75% Corpus,9,0.01,0.61,
75% Corpus,9,0.01,0.9099999999999999,0.435697746804348
75% Corpus,9,0.01,symmetric,0.4152797329966675
75% Corpus,9,0.31,0.01,0.45883443051538275
75% Corpus,9,0.31,0.31,0.4805960194939192
75% Corpus,9,0.31,0.61,
75% Corpus,9,0.31,0.9099999999999999,
75% Corpus,9,0.31,symmetric,0.4678844527367574
75% Corpus,9,0.61,0.01,0.41118428413421765
75% Corpus,9,0.61,0.31,0.39003811484456147
75% Corpus,9,0.61,0.61,0.3783469798706722
75% Corpus,9,0.61,0.9099999999999999,0.33941622582409625
75% Corpus,9,0.61,symmetric,0.4269332118714397
75% Corpus,9,0.9099999999999999,0.01,0.36898612944452536
75% Corpus,9,0.9099999999999999,0.31,0.36279859835817063
75% Corpus,9,0.9099999999999999,0.61,0.32093565117088246
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.30511760807627386
75% Corpus,9,0.9099999999999999,symmetric,0.36399669309670546
75% Corpus,9,symmetric,0.01,0.45034789636455536
75% Corpus,9,symmetric,0.31,
75% Corpus,9,symmetric,0.61,
75% Corpus,9,symmetric,0.9099999999999999,
75% Corpus,9,symmetric,symmetric,0.46823699967423404
75% Corpus,9,asymmetric,0.01,
75% Corpus,9,asymmetric,0.31,
75% Corpus,9,asymmetric,0.61,
75% Corpus,9,asymmetric,0.9099999999999999,
75% Corpus,9,asymmetric,symmetric,
75% Corpus,10,0.01,0.01,0.41420595027316276
75% Corpus,10,0.01,0.31,0.43325367854882674
75% Corpus,10,0.01,0.61,0.436834810049796
75% Corpus,10,0.01,0.9099999999999999,
75% Corpus,10,0.01,symmetric,0.4592150678320765
75% Corpus,10,0.31,0.01,0.45306109077047296
75% Corpus,10,0.31,0.31,0.4644506348138341
75% Corpus,10,0.31,0.61,
75% Corpus,10,0.31,0.9099999999999999,
75% Corpus,10,0.31,symmetric,
75% Corpus,10,0.61,0.01,0.41942231130978247
